populationID	populationName	location	geographicRegion	dataSet-of-origin	Latitude[degreesNorth]	Longitude[degreesEast]
1127	Bamoun	Cameroon	AFRICA	African	5.5	10.8
1128	Banen	Cameroon	AFRICA	African	4.8	10.8
1129	Bafia	Cameroon	AFRICA	African	4.8	11
1130	Lemande	Cameroon	AFRICA	African	4.5	11
1131	Batanga	Cameroon	AFRICA	African	3	10
1132	Podokwo	Cameroon	AFRICA	African	11	12.1
1159	Yoruba	Nigeria	AFRICA	African	8	4
1185	Bassange	Nigeria	AFRICA	African	9	5.5
1186	Igbo	Nigeria	AFRICA	African	6	7
1187	Igala	Nigeria	AFRICA	African	7	7
1188	Gwari	Nigeria	AFRICA	African	10	7
1189	Hausa-Nigeria	Nigeria	AFRICA	African	12	8
1190	BejaBanuamir	Sudan	MIDDLE_EAST	African	21	36
1191	Dinka	Sudan	AFRICA	African	8	30
1192	Datoga	Tanzania	AFRICA	African	-4.5	35.5
1193	Sukuma	Tanzania	AFRICA	African	-3	33.5
1194	Gogo	Tanzania	AFRICA	African	-6	36
1195	FiomeGorowa	Tanzania	AFRICA	African	-4.3	35.8
1196	Iyassa	Cameroon	AFRICA	African	2.5	9.8
1197	Fang	Cameroon	AFRICA	African	2.5	13
1198	Mabea	Cameroon	AFRICA	African	2.9	10.3
1199	Yambassa	Cameroon	AFRICA	African	4.8	11.3
1200	SouthTikar	Cameroon	AFRICA	African	5.5	11.5
1201	NorthTikar	Cameroon	AFRICA	African	6.3	11.5
1202	Ntumu	Cameroon	AFRICA	African	2.3	10.5
1203	Massa	Cameroon	AFRICA	African	10.3	15.3
1204	Tupuri	Cameroon	AFRICA	African	10.3	14.8
1205	Bulu	Cameroon	AFRICA	African	3	11
1206	Ashanti	Ghana	AFRICA	African	6	-1
1207	Brong	Ghana	AFRICA	African	7.5	-2
1209	Chicago	USA	AFROEUROPEAN	African	41.881944	-87.627778
1210	Pittsburgh	USA	AFROEUROPEAN	African	40.441667	-80
1211	Baltimore	USA	AFROEUROPEAN	African	39.283333	-76.616667
1212	NorthCarolina	USA	AFROEUROPEAN	African	NA	NA
1214	MaasaiMumonyot	Kenya	AFRICA	African	0.6	37
1215	MaasaiIlgwesi	Kenya	AFRICA	African	0.3	36.8
1216	Samburu	Kenya	AFRICA	African	1.5	37
1217	Yaaku	Kenya	AFRICA	African	0.5	37
1219	Sambaa	Tanzania	AFRICA	African	-4.5	38.3
1220	Dorobo	Tanzania	AFRICA	African	-5	37
1222	Australian	Australia	OCEANIA	African	NA	NA
1223	BejaHadandawa	Sudan	MIDDLE_EAST	African	21	36
1224	Tugen	Kenya	AFRICA	African	0.8	35.8
1225	Burji	Ethiopia	AFRICA	African	5.5	37.8
1226	Marakwet	Kenya	AFRICA	African	1.3	35.5
1227	Luhya	Kenya	AFRICA	African	0.5	34.5
1228	Luo	Kenya	AFRICA	African	-0.5	34.5
1229	Kikuyu	Kenya	AFRICA	African	-1	37
1230	Sengwer	Kenya	AFRICA	African	1	35
1231	Okiek	Kenya	AFRICA	African	0.3	36
1232	Wata	Kenya	AFRICA	African	3.5	37
1233	Nandi	Kenya	AFRICA	African	0	35.5
1234	ElMolo	Kenya	AFRICA	African	2.8	36.8
1235	Gabra	Kenya	AFRICA	African	3	37.5
1236	Sabaot	Kenya	AFRICA	African	1	34.8
1237	Rendille	Kenya	AFRICA	African	2.3	37.5
